+---------------------------------------------------------------------------------------------------+ 
| Method                                                              | Terminating       | Time    |
+---------------------------------------------------------------------------------------------------+ 
| BankImpl.init                                                       | yes               | 20      |
| BankImpl.validateCard                                               | yes               | 50      |
| BankImpl.debitCard                                                  | yes               | 50      |
| BarCodeScannerImpl.init                                             | yes               | 30      |
| BarCodeScannerImpl.setDependencies                                  | yes               | 20      |
| BarCodeScannerImpl.scanBarCodeButtonPressed                         | yes               | 170     |
| BarCodeScannerEnvImpl.init                                          | yes               | 20      |
| BarCodeScannerEnvImpl.setDependencies                               | yes               | 30      |
| BarCodeScannerEnvImpl.barCodeEnterPressed                           | yes               | 120     |
| BarCodeScannerEnvImpl.scanBarCode                                   | yes               | 20      |
| CardReaderImpl.init                                                 | yes               | 10      |
| CardReaderImpl.setDependencies                                      | yes               | 30      |
| CardReaderImpl.enterPin                                             | yes               | 370     |
| CardReaderEnvImpl.init                                              | yes               | 20      |
| CardReaderEnvImpl.setDependencies                                   | yes               | 20      |
| CardReaderEnvImpl.pullCardThrough                                   | yes               | 30      |
| CardReaderEnvImpl.enterPinFromCustomer                              | yes               | 370     |
| CardReaderEnvImpl.getCreditInfo                                     | yes               | 20      |
| CashBoxImpl.init                                                    | yes               | 30      |
| CashBoxImpl.setDependencies                                         | yes               | 20      |
| CashBoxImpl.open                                                    | yes               | 30      |
| CashBoxImpl.onCloseEvent                                            | yes               | 300     |
| CashBoxImpl.keyPressed                                              | yes               | 360     |
| CashBoxImpl.show                                                    | yes               | 50      |
| CashBoxEnvImpl.init                                                 | yes               | 20      |
| CashBoxEnvImpl.setDependencies                                      | yes               | 20      |
| CashBoxEnvImpl.open                                                 | yes               | 20      |
| CashBoxEnvImpl.close                                                | yes               | 250     |
| CashBoxEnvImpl.keyPressed                                           | yes               | 430     |
| CashDeskEnvironmentInstallation.init                                | yes               | 60      |
| CashDeskEnvironmentInstallation.init2                               | yes               | 30      |
| CashDeskEnvironmentInstallation.getCashier                          | yes               | 20      |
| CashDeskEnvironmentInstallation.getPrinterEnv                       | yes               | 20      |
| CashDeskEnvironmentInstallation.getScreen                           | yes               | 20      |
| CashDeskEnvironmentInstallation.getCashBoxEnv                       | yes               | 20      |
| CashDeskEnvironmentInstallation.getLightDisplayEnv                  | yes               | 20      |
| CashDeskEnvironmentInstallation.getBarCodeScannerEnv                | yes               | 20      |
| CashDeskEnvironmentInstallation.getCardReaderEnv                    | yes               | 20      |
| CashDeskEnvironmentInstallation.getInventory                        | yes               | 30      |
| CashDeskEnvironmentInstallation.getBank                             | yes               | 20      |
| CashDeskInstallationImpl.init                                       | yes               | 20      |
| CashDeskInstallationImpl.init2                                      | yes               | 110     |
| CashDeskInstallationImpl.getBarCodeScanner                          | yes               | 20      |
| CashDeskInstallationImpl.getCashBox                                 | yes               | 20      |
| CashDeskInstallationImpl.getCardReader                              | yes               | 20      |
| CashDeskLineEnvironmentInstallation.init                            | yes               | 20      |
| CashDeskLineEnvironmentInstallation.run                             | no                | 509     |
| CashDeskLineEnvironmentInstallation.init2                           | no                | 481     |
| CashDeskLineEnvironmentInstallation.getCashiers                     | yes               | 20      |
| CashDeskLineInstallationImpl.init                                   | yes               | 20      |
| CashDeskLineInstallationImpl.init2                                  | yes               | 290     |
| CashDeskLineInstallationImpl.getCashDeskInstallations               | yes               | 30      |
| CashDeskPCImpl.init                                                 | yes               | 20      |
| CashDeskPCImpl.setDependencies                                      | yes               | 20      |
| CashDeskPCImpl.newSaleStarted                                       | yes               | 60      |
| CashDeskPCImpl.saleFinished                                         | yes               | 40      |
| CashDeskPCImpl.barCodeSend                                          | yes               | 139     |
| CashDeskPCImpl.calculateRunningTotal                                | yes               | 101     |
| CashDeskPCImpl.paymentModeSelected                                  | yes               | 100     |
| CashDeskPCImpl.keypadSend                                           | yes               | 220     |
| CashDeskPCImpl.cashAmountEntered                                    | yes               | 110     |
| CashDeskPCImpl.moneyReceived                                        | yes               | 260     |
| CashDeskPCImpl.changeToMode                                         | yes               | 30      |
| CashDeskPCImpl.sendCreditInfoAndPin                                 | yes               | 360     |
| CashDeskPCImpl.saleSuccess                                          | yes               | 280     |
| CashierImpl.init                                                    | yes               | 20      |
| CashierImpl.runCashier                                              | no                | 3080    |
| CashierImpl.serveCustomer                                           | no                | 2960    |
| CashierImpl.waitScreenChanged                                       | yes               | 20      |
| CashierImpl.pressKeys                                               | no                | 460     |
| ExpressCoordinatorImpl.init                                         | yes               | 10      |
| ExpressCoordinatorImpl.saleRegistered                               | yes               | 110     |
| InventoryImpl.init                                                  | yes               | 20      |
| InventoryImpl.getProductWithStockItem                               | yes               | 40      |
| InventoryImpl.accountSale                                           | yes               | 50      |
| LightDisplayImpl.init                                               | yes               | 20      |
| LightDisplayImpl.setDependencies                                    | yes               | 20      |
| LightDisplayImpl.changeToMode                                       | yes               | 20      |
| LightDisplayEnvImpl.init                                            | yes               | 20      |
| LightDisplayEnvImpl.turn                                            | yes               | 20      |
| PrinterImpl.init                                                    | yes               | 10      |
| PrinterImpl.setDependencies                                         | yes               | 20      |
| PrinterImpl.print                                                   | yes               | 200     |
| PrinterEnvImpl.init                                                 | yes               | 30      |
| PrinterEnvImpl.print                                                | yes               | 10      |
| PrinterEnvImpl.getReceipt                                           | yes               | 20      |
| ScreenImpl.init                                                     | yes               | 30      |
| ScreenImpl.display                                                  | yes               | 30      |
| ScreenImpl.changed                                                  | yes               | 20      |
| InternalLoggerImpl.init                                             | yes               | 20      |
| InternalLoggerImpl.log                                              | yes               | 20      |
| TestImpl.init                                                       | yes               | 20      |
| TestImpl.getCachiers                                                | no                | 540     |
| TestImpl.start                                                      | no                | 3580    |
+---------------------------------------------------------------------------------------------------+ 

