Termination time of Current method: 5200 ms
Termination time of new approach: 239740 ms
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| #  | Type         | Nodes                                                             | Terminating OLD   | Termination NEW   | Time    |
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| 0  | non_recursive| [cont_1]                                                          | yes               | yes               | -       |
| 1  | non_recursive| [cont_2]                                                          | yes               | yes               | -       |
| 2  | non_recursive| [if_2]                                                            | yes               | yes               | -       |
| 3  | non_recursive| [if_1]                                                            | yes               | yes               | -       |
| 4  | non_recursive| [BankImpl.debitCard]                                              | yes               | yes               | -       |
| 5  | non_recursive| [BankImpl.init]                                                   | yes               | yes               | -       |
| 6  | non_recursive| [case_6]                                                          | yes               | yes               | -       |
| 7  | non_recursive| [fst]                                                             | yes               | yes               | -       |
| 8  | non_recursive| [getPin]                                                          | yes               | yes               | -       |
| 9  | non_recursive| [cont_0]                                                          | yes               | yes               | -       |
| 10 | non_recursive| [case_7]                                                          | yes               | yes               | -       |
| 11 | non_recursive| [snd]                                                             | yes               | yes               | -       |
| 12 | non_recursive| [getId]                                                           | yes               | yes               | -       |
| 13 | non_recursive| [if_0]                                                            | yes               | yes               | -       |
| 14 | recursive    | [case_4,lookup]                                                   | yes               | yes               | -       |
| 15 | non_recursive| [BankImpl.validateCard]                                           | yes               | yes               | -       |
| 16 | non_recursive| [BarCodeScannerEnvImpl.scanBarCode]                               | yes               | yes               | -       |
Built-in SCC: #17 [eq]
| 17 | non_recursive| [eq]                                                              | yes               | yes               | -       |
| 18 | non_recursive| [cont_32]                                                         | yes               | yes               | -       |
| 19 | non_recursive| [if_32]                                                           | yes               | yes               | -       |
| 20 | non_recursive| [InternalLoggerImpl.log]                                          | yes               | yes               | -       |
| 21 | non_recursive| [cont_31]                                                         | yes               | yes               | -       |
| 22 | non_recursive| [if_31]                                                           | yes               | yes               | -       |
Built-in SCC: #23 [or]
| 23 | non_recursive| [or]                                                              | yes               | yes               | -       |
| 24 | non_recursive| [ScreenImpl.display]                                              | yes               | yes               | -       |
| 25 | non_recursive| [CashBoxImpl.show]                                                | yes               | yes               | -       |
| 26 | non_recursive| [case_20]                                                         | yes               | yes               | -       |
| 27 | non_recursive| [addMoney]                                                        | yes               | yes               | -       |
| 28 | non_recursive| [productToString]                                                 | yes               | yes               | -       |
| 29 | non_recursive| [formatProductAndRunningTotal]                                    | yes               | yes               | -       |
| 30 | non_recursive| [productPrice]                                                    | yes               | yes               | -       |
| 31 | non_recursive| [CashDeskPCImpl.calculateRunningTotal]                            | yes               | yes               | -       |
| 32 | non_recursive| [InventoryImpl.getProductWithStockItem]                           | yes               | yes               | -       |
| 33 | recursive    | [case_2,concatenate]                                              | yes               | yes               | -       |
| 34 | non_recursive| [appendright]                                                     | yes               | yes               | -       |
| 35 | non_recursive| [cont_12]                                                         | yes               | yes               | -       |
| 36 | non_recursive| [if_12]                                                           | yes               | yes               | -       |
| 37 | non_recursive| [CashDeskPCImpl.barCodeSend]                                      | yes               | yes               | -       |
