Termination time of Current method: 2813319 ms
Termination time of new approach: 41421 ms
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| #  | Type         | Nodes                                                             | Terminating OLD   | Termination NEW   | Time    |
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| 0  | non_recursive| [case_98]                                                         | yes               | yes               | -       |
| 1  | non_recursive| [entries]                                                         | yes               | yes               | -       |
| 2  | non_recursive| [case_27]                                                         | yes               | yes               | -       |
| 3  | non_recursive| [snd]                                                             | yes               | yes               | -       |
| 4  | non_recursive| [dirContent]                                                      | yes               | yes               | -       |
| 5  | non_recursive| [BasicReplicationItemImpl.getContents]                            | yes               | yes               | -       |
| 6  | non_recursive| [BasicReplicationItemImpl.getState]                               | yes               | yes               | -       |
| 7  | non_recursive| [emptyDir]                                                        | yes               | yes               | -       |
| 8  | non_recursive| [rootId]                                                          | yes               | yes               | -       |
| 9  | non_recursive| [rootDir]                                                         | yes               | yes               | -       |
| 10 | non_recursive| [case_26]                                                         | yes               | yes               | -       |
| 11 | non_recursive| [fst]                                                             | yes               | yes               | -       |
| 12 | non_recursive| [case_56]                                                         | yes               | yes               | -       |
| 13 | non_recursive| [deroot]                                                          | yes               | yes               | -       |
| 14 | non_recursive| [fileSep]                                                         | yes               | yes               | -       |
| 15 | non_recursive| [case_59]                                                         | yes               | yes               | -       |
| 16 | non_recursive| [getFileContent]                                                  | yes               | yes               | -       |
| 17 | non_recursive| [case_58]                                                         | yes               | yes               | -       |
| 18 | non_recursive| [getFileId]                                                       | yes               | yes               | -       |
| 19 | non_recursive| [substr]                                                          | yes               | yes               | -       |
| 20 | non_recursive| [headStr]                                                         | yes               | yes               | -       |
| 21 | non_recursive| [strapp]                                                          | yes               | yes               | -       |
| 22 | non_recursive| [strlen]                                                          | yes               | yes               | -       |
| 23 | non_recursive| [tailStr]                                                         | yes               | yes               | -       |
| 24 | recursive    | [case_13,concatenate]                                             | yes               | yes               | -       |
| 25 | non_recursive| [appendright]                                                     | yes               | yes               | -       |
| 26 | recursive    | [case_14,reverse]                                                 | yes               | yes               | -       |
| 27 | recursive    | [case_34,case_35,case_36,split2]                                  | yes               | yes               | -       |
| 28 | non_recursive| [case_33]                                                         | yes               | yes               | -       |
| 29 | non_recursive| [split]                                                           | yes               | yes               | -       |
| 30 | recursive    | [case_83,create]                                                  | yes               | yes               | -       |
| 31 | recursive    | [case_20,put]                                                     | yes               | yes               | -       |
| 32 | non_recursive| [case_23]                                                         | yes               | yes               | -       |
| 33 | non_recursive| [fromJust]                                                        | yes               | yes               | -       |
| 34 | recursive    | [case_18,lookup]                                                  | yes               | yes               | -       |
| 35 | non_recursive| [lookupUnsafe]                                                    | yes               | yes               | -       |
| 36 | recursive    | [case_4,contains]                                                 | yes               | yes               | -       |
| 37 | recursive    | [case_17,keys]                                                    | yes               | yes               | -       |
| 38 | recursive    | [case_80,case_81,case_82,updateFile1]                             | yes               | yes               | -       |
| 39 | non_recursive| [updateFile]                                                      | yes               | yes               | -       |
| 40 | non_recursive| [case_79]                                                         | yes               | yes               | -       |
| 41 | non_recursive| [updateDirWith]                                                   | yes               | yes               | -       |
| 42 | non_recursive| [updateDirWithDir]                                                | yes               | yes               | -       |
| 43 | non_recursive| [BasicReplicationItemImpl.init]                                   | yes               | yes               | -       |
| 44 | non_recursive| [BasicReplicationItemImpl.setState]                               | yes               | yes               | -       |
| 45 | recursive    | [case_19,lookupDefault]                                           | yes               | yes               | -       |
| 46 | non_recursive| [SyncClientImpl.becomesState]                                     | yes               | yes               | -       |
| 47 | non_recursive| [SyncClientImpl.waitToBoot]                                       | yes               | yes               | -       |
| 48 | non_recursive| [cont_39]                                                         | yes               | yes               | -       |
| 49 | non_recursive| [SyncClientImpl.boot]                                             | yes               | yes               | -       |
| 50 | non_recursive| [cont_40]                                                         | yes               | yes               | -       |
| 51 | non_recursive| [SyncClientImpl.replicate]                                        | yes               | yes               | -       |
| 52 | non_recursive| [cont_41]                                                         | yes               | yes               | -       |
| 53 | non_recursive| [SyncClientImpl.waitToReplicate]                                  | yes               | yes               | -       |
| 54 | non_recursive| [cont_42]                                                         | yes               | yes               | -       |
| 55 | non_recursive| [SyncClientImpl.end]                                              | yes               | yes               | -       |
| 56 | non_recursive| [cont_43]                                                         | yes               | yes               | -       |
| 57 | non_recursive| [if_43]                                                           | yes               | yes               | -       |
| 58 | non_recursive| [if_42]                                                           | yes               | yes               | -       |
| 59 | non_recursive| [if_41]                                                           | yes               | yes               | -       |
| 60 | non_recursive| [if_40]                                                           | yes               | yes               | -       |
| 61 | non_recursive| [if_39]                                                           | yes               | yes               | -       |
| 62 | non_recursive| [ClientJobImpl.becomeState]                                       | yes               | yes               | -       |
| 63 | non_recursive| [cont_24]                                                         | yes               | yes               | -       |
| 64 | non_recursive| [lowlevelDeadline]                                                | yes               | yes               | -       |
